meet_name,meet_url,event_number,event_name,is_relay,name,time,time_url
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Saint Anthony's (A),1:31.03,https://www.swimcloud.com/times/148088289/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Frewsburg (A),1:31.28,https://www.swimcloud.com/times/148088246/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Hewlett (A),1:34.08,https://www.swimcloud.com/times/148088248/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Clarkstown (A),1:34.98,https://www.swimcloud.com/times/148088240/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Hauppauge-Smithtown (A),1:35.01,https://www.swimcloud.com/times/148088252/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Stuyvesant (A),1:35.50,https://www.swimcloud.com/times/148088296/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Saratoga (NY) (A),1:35.75,https://www.swimcloud.com/times/148088291/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Manhasset Senior (A),1:36.36,https://www.swimcloud.com/times/148088269/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Jericho (A),1:38.00,https://www.swimcloud.com/times/148088258/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Syosset Senior (A),1:38.22,https://www.swimcloud.com/times/148088298/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,CBATroyColumbia (A),1:37.46,https://www.swimcloud.com/times/148088238/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Orchard Park (A),1:38.37,https://www.swimcloud.com/times/148088279/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Kenmore (A),1:38.47,https://www.swimcloud.com/times/148088260/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Kingston (A),1:38.51,https://www.swimcloud.com/times/148088262/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,NPort-Commack (A),1:38.54,https://www.swimcloud.com/times/148088277/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,New Hartford (A),1:38.65,https://www.swimcloud.com/times/148088273/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,HHH-Kings Park (A),1:38.89,https://www.swimcloud.com/times/148088250/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Red Hook (A),1:39.57,https://www.swimcloud.com/times/148088287/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,West Islip (A),1:39.09,https://www.swimcloud.com/times/148088300/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Pine Bush (A),1:39.37,https://www.swimcloud.com/times/148088281/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,CorningPaintPost (A),1:40.23,https://www.swimcloud.com/times/148088242/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Monroe Woodbury (A),1:40.57,https://www.swimcloud.com/times/148088271/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Plainview JFK (A),1:40.78,https://www.swimcloud.com/times/148088285/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Pittsford (A),1:40.79,https://www.swimcloud.com/times/148088283/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Niagara Falls (A),1:41.03,https://www.swimcloud.com/times/148088275/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Herricks (A),1:41.44,https://www.swimcloud.com/times/148088254/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Maine Endwell (A),1:42.74,https://www.swimcloud.com/times/148088265/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Shenendehowa (A),1:43.52,https://www.swimcloud.com/times/148088294/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Saint Anthony's (A),1:32.31,https://www.swimcloud.com/times/148088288/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Frewsburg (A),1:32.39,https://www.swimcloud.com/times/148088245/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Stuyvesant (A),1:35.53,https://www.swimcloud.com/times/148088295/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Hauppauge-Smithtown (A),1:35.66,https://www.swimcloud.com/times/148088251/
NYSPHSAA Boys Federation Championship,https://www.swimcloud.com/results/307921/,1,200 Medley Relay Men,True,Hewlett (A),1:35.92,https://www.swimcloud.com/times/148088247/
